"customer_id","age","gender","marital_status","education_level","annual_income","loan_amount","credit_score","employment_years","employment_type","loan_purpose","home_ownership","debt_to_income_ratio","existing_loans","loan_term_months","interest_rate","loan_status","application_date","application_year","application_month","income_bracket","credit_score_band"
228500249,35.0,"Male","Single","Bachelor",33257.31,14771.04,577.0,33.6,"Part-Time","Personal","Mortgage",0.400,5.0,48.0,14.85,"Approved","2019-07-23",2019.0,7.0,"Lower-Mid (20-40K)","Poor"
396233462,59.0,"Male","Married","Master",16764.51,194804.70,790.0,40.0,"Full-Time","Unknown","Own",0.177,2.0,360.0,16.87,"Rejected","2023-03-01",2023.0,3.0,"Low (<20K)","Very Good"
909211459,26.0,"Male","Married","Master",53460.55,138636.74,684.0,27.7,"Part-Time","Personal","Own",0.216,1.0,240.0,11.41,"Approved","2016-06-08",2016.0,6.0,"Upper-Mid (40-60K)","Good"
982980455,59.0,"Male","Single","Bachelor",66520.40,79776.32,662.0,37.7,"Full-Time","Home","Own",0.067,1.0,12.0,6.17,"Approved","2023-05-17",2023.0,5.0,"High (60K+)","Fair"
349162937,40.0,"Male","Single","High School",21824.42,121541.37,560.0,5.5,"Part-Time","Car","Own",0.432,1.0,120.0,18.68,"Approved","2024-02-18",2024.0,2.0,"Lower-Mid (20-40K)","Poor"
265338510,49.0,"Male","Single","High School",54407.27,27049.56,752.0,19.7,"Full-Time","Personal","Own",0.177,2.0,360.0,5.45,"Approved","2023-02-04",2023.0,2.0,"Upper-Mid (40-60K)","Very Good"
159574807,42.0,"Male","Single","Phd",33257.31,379277.51,712.0,0.9,"Self-Employed","Personal","Unknown",0.688,0.0,360.0,12.36,"Approved",NULL,NULL,NULL,"Lower-Mid (20-40K)","Good"
104812360,50.0,"Male","Married","Bachelor",16715.87,477783.33,633.0,12.4,"Unemployed","Personal","Own",0.382,3.0,120.0,2.65,"Approved","2021-12-06",2021.0,12.0,"Low (<20K)","Fair"
472560217,24.0,"Female","Married","High School",24505.97,228232.15,567.0,5.3,"Self-Employed","Business","Own",0.360,2.0,36.0,21.31,"Approved","2023-09-08",2023.0,9.0,"Lower-Mid (20-40K)","Poor"
409457262,44.0,"Male","Single","Master",12153.30,139187.92,780.0,6.3,"Part-Time","Car","Mortgage",0.183,1.0,12.0,12.40,"Approved","2021-01-27",2021.0,1.0,"Low (<20K)","Very Good"
827448106,37.0,"Female","Single","Bachelor",90671.80,63554.44,665.0,26.0,"Full-Time","Home","Own",0.432,2.0,24.0,13.77,"Approved","2021-08-17",2021.0,8.0,"High (60K+)","Fair"
179194842,59.0,"Female","Unknown","High School",36896.16,227288.45,639.0,36.6,"Full-Time","Education","Other",0.454,1.0,120.0,4.04,"Approved","2024-10-17",2024.0,10.0,"Lower-Mid (20-40K)","Fair"
168334472,74.0,"Female","Unknown","Master",39118.37,65518.87,753.0,29.6,"Full-Time","Car","Mortgage",0.144,1.0,24.0,9.50,"Rejected","2016-06-25",2016.0,6.0,"Lower-Mid (20-40K)","Very Good"
219248870,73.0,"Unknown","Divorced","Master",26651.08,244208.82,795.0,21.8,"Unemployed","Home","Mortgage",0.432,3.0,120.0,9.79,"Rejected","2016-02-15",2016.0,2.0,"Lower-Mid (20-40K)","Very Good"
869786948,47.0,"Male","Single","Unknown",12511.24,488731.82,682.0,32.3,"Full-Time","Home","Mortgage",0.469,1.0,240.0,7.29,"Approved",NULL,NULL,NULL,"Low (<20K)","Good"
